Title,Data Type,Latitude/Longitude,Last updated,Station ID,Water level (MLLW),Water level (MHHW),Event
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-12 04:24:00,8726384,2.395,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-09 19:30:00,8726384,1.414,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-23 14:00:00,8726384,1.781,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-21 10:24:00,8726384,0.64,-1.535,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-18 05:54:00,8726384,2.664,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-14 09:00:00,8726384,3.35,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 01:42:00,8726384,2.467,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-02 14:54:00,8726384,2.175,0.0,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-03 09:30:00,8726384,2.933,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-08 19:30:00,8726384,2.539,0.364,Milton
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-07 03:06:00,8726384,2.605,0.43,Milton
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-07 09:54:00,8726384,1.178,-0.997,Milton
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-17 15:06:00,8726384,1.43,-0.745,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-04 09:36:00,8726384,3.917,,Debby
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-05 05:30:00,8726384,1.25,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-22 00:24:00,8726384,3.166,0.991,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-10 20:36:00,8726384,2.231,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-12 05:18:00,8726384,2.234,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-12 11:42:00,8726384,0.837,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-11 11:30:00,8726384,0.03,-2.146,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-24 12:12:00,8726384,1.253,,Helene
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-06 13:18:00,8726384,2.927,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 19:30:00,8726384,1.532,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-15 00:18:00,8726384,2.126,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-12 14:12:00,8726384,1.109,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-02 15:06:00,8726384,2.116,-0.059,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-14 15:12:00,8726384,0.551,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-14 22:24:00,8726384,2.008,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-22 07:18:00,8726384,1.02,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-17 00:06:00,8726384,2.425,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-14 13:12:00,8726384,1.68,-0.495,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-10 09:24:00,8726384,1.138,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-12 02:18:00,8726384,3.366,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-30 00:12:00,8726384,2.671,0.495,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-06 14:30:00,8726384,2.762,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-04 20:00:00,8726384,2.343,0.167,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-17 06:30:00,8726384,2.966,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-26 15:42:00,8726384,1.289,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 06:42:00,8726384,1.276,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-27 01:18:00,8726384,1.598,-0.577,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-17 20:36:00,8726384,2.398,0.223,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-30 23:36:00,8726384,2.156,-0.02,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 12:00:00,8726384,3.34,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-04 14:36:00,8726384,2.411,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-10 10:00:00,8726384,1.237,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 08:48:00,8726384,2.349,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-05 13:42:00,8726384,3.724,,Debby
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 21:42:00,8726384,3.038,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-22 08:06:00,8726384,0.889,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-16 12:54:00,8726384,1.814,-0.361,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-23 02:00:00,8726384,2.923,0.748,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-31 07:42:00,8726384,1.496,-0.679,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-29 04:24:00,8726384,0.82,-1.355,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-06 14:42:00,8726384,2.392,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-09 17:24:00,8726384,2.159,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-15 00:06:00,8726384,2.126,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-20 10:12:00,8726384,2.27,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-09 00:36:00,8726384,2.454,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-07 07:30:00,8726384,1.273,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-24 10:12:00,8726384,1.152,,Helene
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-19 10:36:00,8726384,1.348,-0.827,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-02 21:24:00,8726384,2.041,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-25 09:00:00,8726384,2.195,0.02,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-29 13:18:00,8726384,1.864,-0.312,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-21 21:06:00,8726384,2.648,0.472,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-01 00:30:00,8726384,2.5,0.325,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-28 15:18:00,8726384,0.486,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-07 09:42:00,8726384,1.804,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-04 21:36:00,8726384,2.792,0.617,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-16 14:54:00,8726384,1.076,-1.099,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-19 10:12:00,8726384,2.881,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 11:18:00,8726384,1.024,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-29 05:12:00,8726384,2.838,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-13 21:24:00,8726384,1.801,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-16 12:06:00,8726384,2.772,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-12 14:12:00,8726384,1.086,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-27 18:42:00,8726384,2.484,0.308,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-17 14:06:00,8726384,1.604,-0.571,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-18 13:12:00,8726384,3.114,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-11 15:30:00,8726384,0.817,-1.358,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-23 07:30:00,8726384,1.329,-0.846,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-24 01:24:00,8726384,3.379,,Helene
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-09 07:18:00,8726384,1.578,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-04 20:12:00,8726384,,0.256,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-30 18:18:00,8726384,1.886,-0.289,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-24 19:06:00,8726384,1.66,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-17 14:00:00,8726384,1.598,-0.577,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-06 03:48:00,8726384,2.142,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-16 04:06:00,8726384,2.077,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-16 07:42:00,8726384,3.343,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-16 12:06:00,8726384,1.138,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-02 08:30:00,8726384,2.431,0.256,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-26 14:24:00,8726384,4.117,1.942,Helene
